"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","UsdlK","FQ2IWe src","W4Efsd 7"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A8%D8%A7%D8%A8%D9%84%E2%80%AD/data=!4m7!3m6!1s0x161d6b4108dbe333:0xe3e6af77c2afe683!8m2!3d13.8528787!4d44.7037249!16s%2Fg%2F11pdf7px4m!19sChIJM-PbCEFrHRYRg-avwnev5uM?authuser=0&hl=en&rclk=1","مجوهرات بابل","5.0","(10)","Jewelry store","Closed","· Opens 8:30 am","·","+967 777 772 879","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwawZFC0xKgUZXbiIbouHISuxp-TsNwbDOjbrV2dHC-56Z8O36H5lz0CVxD5cz4hGk5WTE9AbdUA3INUS3qfmJPV7PG_zLWUxoxFxNbv38h7-iiEGVcaosMZw9mz6lTFViVYw6p=w80-h106-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A5%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x1603c5003a458e61:0xf514c58ace24b4ad!8m2!3d15.2858022!4d44.2224299!16s%2Fg%2F11ypxhrby6!19sChIJYY5FOgDFAxYRrbQkzorFFPU?authuser=0&hl=en&rclk=1","مجوهرات إب","5.0","(2)","Jewelry store","شارع المقالح","Closed","","+967 780 480 220","https://lh3.googleusercontent.com/p/AF1QipMl9skVSr6UNKA1btDGekf2HBKaalI79UURlAf3=w122-h92-k-no","· Opens 9 am"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84%E2%80%AD/data=!4m7!3m6!1s0x1603c4e8cf9b537f:0x8bc46991cf9af25c!8m2!3d15.2857783!4d44.2224912!16s%2Fg%2F11gf9bssvp!19sChIJf1Obz-jEAxYRXPKaz5FpxIs?authuser=0&hl=en&rclk=1","مجوهرات المستقبل","4.3","(24)","Jewelry store","الاصبحي, صنعاء‎،","Closed","","+967 773 344 215","https://lh3.googleusercontent.com/p/AF1QipM4kL2hh-AYCuoEjB-wvjSSHfcTpuQNHpOewwc=w80-h106-k-no","· Opens 9 am"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%A3%D8%B5%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x161d833618d67ae7:0xd73365c9cdfd02f9!8m2!3d13.5261708!4d44.8520232!16s%2Fg%2F11q9m60krv!19sChIJ53rWGDaDHRYR-QL9zcllM9c?authuser=0&hl=en&rclk=1","مجوهرات الأصيل","5.0","(3)","Jewelry store","Open 24 hours","","GVG2+FQG, 215","+967 777 455 263","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A3%D8%A8%D9%88+%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x161ce97c210d6269:0xab2af1aa0c19b1a9!8m2!3d13.9734583!4d44.1754008!16s%2Fg%2F11fy1l8nb0!19sChIJaWINIXzpHBYRqbEZDKrxKqs?authuser=0&hl=en&rclk=1","مجوهرات أبو الرجال","4.7","(16)","Jewelry store","Closed","· Opens 8 am","X5FG+95J","+967 773 222 210","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyiq_3LH4qm4MEq7aBNyWu1uizWIkCpa0L5SMvO-KHzZbmXuuMnTgGMwsfHuKLYg85K5QWRwampZgNCpjWRsD-3VaNIkqJG7iUZqHDNm2gs9AZU8BJHncqVv0CYyIxgLmE9ojcOAw=w80-h106-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%B9%D8%B1%D9%8A%D9%81%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x161c5dcc72b4cf6d:0x1c739db4bf53ec52!8m2!3d13.6518499!4d44.1305827!16s%2Fg%2F11fz2x4b58!19sChIJbc-0csxdHBYRUuxTv7Sdcxw?authuser=0&hl=en&rclk=1","مجوهرات محمد العريفي","4.1","(42)","Jewelry store","Open 24 hours","","M42J+P6P","+967 738 813 633","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyg0DrSmxTXKM2Y6Czl9rVfalpGC1lFcZH1A5SCwVDVTdwKb2jsKmUjqi_awgJ8zzIq40iYPGvqvO7Vkd5FKesFx3sR1zia0sjH_zg7SHE0DLX0eoj9rkO3JezTVT_TbOXvyBQLkg=w80-h142-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%B9%D9%88%D8%A7%D8%B6%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x161ce979300bffff:0x99e19ee7062cdb92!8m2!3d13.9748394!4d44.1774027!16s%2Fg%2F11g9jdvvkw!19sChIJ__8LMHnpHBYRktssBuee4Zk?authuser=0&hl=en&rclk=1","مجوهرات العواضي","4.0","(35)","Jewelry store","Closed","· Opens 8 am","·","+967 4 407 935","https://lh3.googleusercontent.com/p/AF1QipMoedtV9sSZQ5mjZ8Qw1shPBCZzOD9Y4NVCxIJM=w163-h92-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D9%85%D8%A3%D8%B1%D8%A8+%D8%A7%D9%84%D8%A7%D8%B5%D8%A8%D8%AD%D9%8A+%D8%B4%D8%A7%D8%B1%D8%B9+%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%84%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x1603c5aca0dadbf3:0x815cc605444a9a8!8m2!3d15.2859657!4d44.2268017!16s%2Fg%2F11kpr0g1rw!19sChIJ89vaoKzFAxYRqKlEVGDMFQg?authuser=0&hl=en&rclk=1","مجوهرات مأرب الاصبحي شارع المقالح","4.4","(17)","Jewelry store","شارع المقالح","Closed","","+967 778 000 090","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyK8NjoPgv441FANUOTybOOh18HqAv_KtMB1Mba5EwQENNJnsAsHNsCrjBWLcLRtEA0T3xHvOTm3YIyO3FiQmROwASsWJR6x7CUYlCVGX48nIt1lXnXodWZGya-MMXY_oz5re9d=w92-h92-k-no","· Opens 9 am"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%B3%D8%AA%D9%8A%D8%AC+%D9%84%D9%84%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%28%D8%B0%D9%87%D8%A8%26%D8%A7%D9%84%D9%85%D8%A7%D8%B3%29%E2%80%AD/data=!4m7!3m6!1s0x1603db007b2788dd:0x20ab45248a295ae!8m2!3d15.3404222!4d44.1986263!16s%2Fg%2F11y492cd_5!19sChIJ3YgnewDbAxYRrpWiSFK0CgI?authuser=0&hl=en&rclk=1","برستيج للمجوهرات (ذهب&الماس)","5.0","(14)","Jewelry store","Closed","· Opens 10 am","Haddah St","+967 782 552 000","https://lh3.googleusercontent.com/p/AF1QipNSAhTe8OW03b2hxzXbRIlL7Uy8p3cIkwe6H6nm=w122-h92-k-no",""
"https://www.google.com/maps/place/Alhjami+center+for+gold+jewelery/data=!4m7!3m6!1s0x161ce976176fe6bd:0xee3bc8093cc89454!8m2!3d13.9753492!4d44.185316!16s%2Fg%2F11b75k0z5l!19sChIJveZvF3bpHBYRVJTIPAnIO-4?authuser=0&hl=en&rclk=1","Alhjami center for gold jewelery","4.1","(92)","Jewelry store","اِب شارع الحمزاوي امام الشراعي للصرافه, R125","Closed","","+967 771 283 639","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiHbJAkfuCydEFhaKwf2RMH5wRB58NFFQLNOkros2aqMKys5W8n4NYj_ofAjv3RGIY5GW1qN96MhQ4eVwSR9V8mX8rMlJWSIRL02NarvBarpn7v_ju1UVC6uHsbGDxzUncFm4=w80-h142-k-no","· Opens 8 am"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D8%A8%D9%88%D8%AE%D8%A7%D9%84%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x1605d5d6f37b759f:0xc7940df7471b9b4c!8m2!3d15.6825741!4d43.1719093!16s%2Fg%2F11td392gzp!19sChIJn3V789bVBRYRTJsbR_cNlMc?authuser=0&hl=en&rclk=1","مجوهرات ابوخالد","5.0","(1)","Goldsmith","Open 24 hours","","M5MC+2QJ","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png",""
"https://www.google.com/maps/place/Al+Bowani+Jewelry/data=!4m7!3m6!1s0x1603dba8077f3c61:0xf461cf516d7ce319!8m2!3d15.3499107!4d44.198674!16s%2Fg%2F1tvdxtx6!19sChIJYTx_B6jbAxYRGeN8bVHPYfQ?authuser=0&hl=en&rclk=1","Al Bowani Jewelry","3.9","(41)","Jewelry store","Closed","· Opens 8 am","·","+967 1 274 889","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png",""
"https://www.google.com/maps/place/%D8%A8%D9%86+%D9%85%D8%AB%D9%86%D9%89+%D9%84%D9%84%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x1603db9da4c38efd:0x801d055eee454b65!8m2!3d15.354214!4d44.2068366!16s%2Fg%2F11hyct54ms!19sChIJ_Y7DpJ3bAxYRZUtF7l4FHYA?authuser=0&hl=en&rclk=1","بن مثنى للمجوهرات","4.6","(14)","Jewelry store","Closed","· Opens 9 am","9634+MPP، Unnamed Road","+967 777 164 355","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAzcQ-eSiiK__3sAKQPexExXoRJmOPA1Mfd9ht4oHUk6Znefl8Hb_pKuyAuisV2jwMCyKlTfmCwuDCkoRWPSmKSpn_cFezD65OYNqHJ9-LrQTDM83X4Xp-pIs2tuWslOnFeHaG=w80-h106-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%B9%D8%B1%D8%B6+%D8%A7%D9%84%D8%B3%D8%B9%D8%A7%D8%AF%D8%A9+%D9%84%D9%84%D8%B0%D9%87%D8%A8+%D9%88%D8%A7%D9%84%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x1603db5504fe1821:0x416cd2f2139853e7!8m2!3d15.3522138!4d44.2027672!16s%2Fg%2F11h_3hc674!19sChIJIRj-BFXbAxYR51OYE_LSbEE?authuser=0&hl=en&rclk=1","معرض السعادة للذهب والمجوهرات","4.8","(12)","Jewelry store","Closed","· Opens 9 am","9623+V4J","+967 1 273 434","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzvP9vyLQXUB_J6BKWonck3KP-x7pDa4J3n9ExLhuZ1lhj5kEd8PkxeAMyHB6ml_Ye2AMPfh5bJufxR8H3uvymYk9UCLNgw2UtYkvkWKJr-hRhfPm5HEJIPHt2cs-i4BDn4ZjwI=w122-h92-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%88%D9%81%D8%A7%D8%A1%E2%80%AD/data=!4m7!3m6!1s0x1603db9d12a5929f:0xfd25c353795e5ba8!8m2!3d15.3542973!4d44.18327!16s%2Fg%2F11c2l1j05d!19sChIJn5KlEp3bAxYRqFteeVPDJf0?authuser=0&hl=en&rclk=1","مجوهرات الوفاء","4.8","(6)","Jewelry store","Closed","· Opens 9 am","953M+P86","+967 777 213 878","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzbv_a32sdxp7cs6zRRpXo9-eYW4r908oSkx_9lRh3QBQdCBF2DK7yUnE_rhVxmCWgWL1xMgxUpsvP9l8n-z8Re_OvggO9Usf7fFkA9OS6f9DhtKKLM_HWeKYLq7qe3rP9B5jE=w80-h142-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%A7%D8%B3+AlmasJewelry%E2%80%AD/data=!4m7!3m6!1s0x1603db8168e7e155:0xbfd50d710ae7afa4!8m2!3d15.3542142!4d44.2069053!16s%2Fg%2F11snxb4lsy!19sChIJVeHnaIHbAxYRpK_nCnEN1b8?authuser=0&hl=en&rclk=1","مجوهرات الماس AlmasJewelry","4.0","(4)","Jewelry store","صنعاء - التحرير - شارع الدفعي اليمن _, Bab Alsabah","Closed","","+967 775 533 350","https://lh3.googleusercontent.com/p/AF1QipP6Z_xzl3zZcPTYZH9GQE1pYMDlMQRzaCXnBAud=w80-h142-k-no","· Opens 9:30 am"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%B9%D9%88%D9%81%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1603db9555555555:0x286a70f50dbfb9bc!8m2!3d15.3570303!4d44.2184814!16s%2Fg%2F11f5gy31gq!19sChIJVVVVVZXbAxYRvLm_DfVwaig?authuser=0&hl=en&rclk=1","مجوهرات عوفان","4.6","(7)","Jewelry store","شارع صنعاء القديمه شارع رمزي، صنعاء‎،","Closed","","+967 777 585 728","https://lh3.googleusercontent.com/p/AF1QipMhBbXD5bX9ROKxJzE7uviRZVm5y3QMOYz5ocmn=w80-h121-k-no","· Opens 8 am"
"https://www.google.com/maps/place/%D8%B9%D8%A7%D9%84%D9%85+%D8%A7%D9%84%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x161ce97eeb9ed2ed:0x85a98aebe80b90ee!8m2!3d13.9742401!4d44.1753458!16s%2Fg%2F11d_92dj9g!19sChIJ7dKe637pHBYR7pAL6OuKqYU?authuser=0&hl=en&rclk=1","عالم المجوهرات","4.0","(91)","Jewelry store","Closed","· Opens 8 am","X5FG+M4X","+967 774 440 446","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzf2FKHvYVeN1LTdHBBGuNDw61AU4VheRTwTICoOSGceSXdeYP7E03396_RECgxrCfYA_VmM8e5nMyeKoG8pTcGU02eaTlBCfOmYqy3EsMVei5ZmNLhUC1y5U8WOLtFZ1X5Mviyg=w80-h142-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D9%87%E2%80%AD/data=!4m7!3m6!1s0x161c6f9837b6efad:0x9299d0de7a51a57b!8m2!3d13.5737257!4d44.0128904!16s%2Fg%2F11q4k1zbn3!19sChIJre-2N5hvHBYRe6VRet7QmZI?authuser=0&hl=en&rclk=1","مجوهرات المدينه","4.0","(52)","Jewelry store","","","","+967 738 543 039","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6ghNzcS3zdjDtz-5NXCMmIijHbJ016r367NMcaOBxpRV1qffoSE2yWjCT5dAe3aWOlF2cY1UEnxOaKFhTLRoX98Pme8DfdfxvifnyCfzO_8Je4IGDj0cnrZIREUBw9QbdnzL3Dg=w95-h92-k-no",""
"https://www.google.com/maps/place/%D8%A7%D9%84%D8%AE%D8%B6%D8%B1+%D9%84%D9%84%D8%B0%D9%87%D8%A8+%D9%88%D8%A7%D9%84%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%B9%D8%A7%D9%84%D9%85+%D9%85%D9%86+%D8%A7%D8%AE%D8%AA%D9%8A%D8%A7%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3dff370a631399ff:0x14420c76269010fb!8m2!3d15.4633475!4d45.32582!16s%2Fg%2F11fm2p0f89!19sChIJ_5kTYwo3_z0R-xCQJnYMQhQ?authuser=0&hl=en&rclk=1","الخضر للذهب والمجوهرات عالم من اختياري","4.7","(9)","Jewelry store","Unnamed Road, مأرب، الشارع العام","Open 24 hours","","+967 715 566 200","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJIbuf1D_Cxv3PKTJdQz59cF_QOAZZHc6PQ2b0muFGyIzPx6M2cbcoPrvSwK3YaduHD4y9nIy7DFr8yy5ZQS9fXadz8EJeU04PtX_ryH3_QLfJwEJPw2b48b0Eq7e_eeXvEDWDcA=w80-h164-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x161cf5a661ce2ccb:0xb75f110d0751cf13!8m2!3d13.755908!4d44.1292125!16s%2Fg%2F11sbzx28hn!19sChIJyyzOYab1HBYRE89RBw0RX7c?authuser=0&hl=en&rclk=1","مجوهرات المجد","4.8","(4)","Jewelry store","Closed","· Opens 8 am","·","+967 777 904 004","https://lh3.googleusercontent.com/p/AF1QipM5P7NlnSpXZirwiCAdby_cq4x8yH5dQF71jNlZ=w80-h169-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%A7%D9%86%D8%A7%D9%82%D9%87%E2%80%AD/data=!4m7!3m6!1s0x161d6d18e0741f13:0x2ba012b1ceb7e2ca!8m2!3d13.7485584!4d44.754259!16s%2Fg%2F11l8lry8lm!19sChIJEx904BhtHRYRyuK3zrESoCs?authuser=0&hl=en&rclk=1","مجوهرات الاناقه","4.8","(4)","Jewelry store","","","PQX3+CPC، Unnamed Road","","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx62EMmaopaLN_N4BMRFofD1BSXS_2lWDs94Ajj5dmZSC-8kNOy_w821_Brab7yKrQTBcpqrba7ql8s-cYCwweOvVuzyOYH1mE2bFaXle6pToNANajY1kDXEWuVnrshCL8cWkQ=w80-h106-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D9%82%D9%8A%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1603dbe620aa8ba1:0x9fb8d6909ff7c433!8m2!3d15.3548642!4d44.2163548!16s%2Fg%2F11sbl1yfzg!19sChIJoYuqIObbAxYRM8T3n5DWuJ8?authuser=0&hl=en&rclk=1","مجوهرات القيري","5.0","(3)","Jewelry store","9638+WHM، سوق الذهب","Closed","","+967 776 012 406","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRXtNs10ol-qmSZ-LjsVtth9HTt8no7WGN0Hp3X55ojJxGv_WvVL7gFDqD4q20nCegSj6FYBZfQAbewgxapDLaSfh9eutQq8IOYlk2KhqCPaDgDIoSaFv7kERDhoOZVYSX0rec=w80-h106-k-no","· Opens 8 am"
"https://www.google.com/maps/place/%D8%A7%D9%84%D8%B0%D8%A8%D8%AD%D8%A7%D9%86%D9%8A+%D9%84%D9%84%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x1603c5168dbc2471:0xfda4796501295558!8m2!3d15.2857743!4d44.2232725!16s%2Fg%2F11dxck9qsp!19sChIJcSS8jRbFAxYRWFUpAWV5pP0?authuser=0&hl=en&rclk=1","الذبحاني للمجوهرات","3.9","(25)","Jewelry designer","المقالح","Closed","","","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwPuoWPIoGe0hlG65Rql4wU-CaSEt8ysbpe5pcLEKcpimlJpsZEP6VV5VpZdyM9qmUhYly5Lrc8FZvlgT7vpoqGoIKYIIIFGYNeTB8xDC99KM3i0m6JOrIrFFVwguNWTik-Fa5z=w80-h106-k-no","· Opens 9:30 am"
"https://www.google.com/maps/place/Ali+Jewelry/data=!4m7!3m6!1s0x161ce97c214a7d91:0x9f2a48c2b2f00e41!8m2!3d13.9734641!4d44.1752576!16s%2Fg%2F11dzdw52d0!19sChIJkX1KIXzpHBYRQQ7wssJIKp8?authuser=0&hl=en&rclk=1","Ali Jewelry","4.8","(4)","Jewelry store","Closed","· Opens 8 am","·","+967 4 427 364","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png",""
